num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
5	29.5255937	0.0305753	29.9793553	30.0291958	[0.2574074074074074]	[0.018518518518518517]	[3.7724501000047894]	['target']
10	33.3349695	0.0358467	33.7985137	33.8476247	[0.25277777777777777]	[0.016666666666666666]	[3.3920978999958606]	[]
10	36.750518	0.0230894	37.2321441	37.2653718	[-0.32037037037037036]	[-0.2740740740740741]	[2.662015200003225]	['target']
5	39.4269983	0.0123046	39.9190217	39.9349578	[0.462037037037037]	[0.2037037037037037]	[3.103125000001455]	['target']
10	42.5611039	0.0243414	43.0387018	43.0720202	[0.19074074074074074]	[-0.18425925925925926]	[2.755500799998117]	['target']
10	45.341869	0.0224981	45.8228579	45.856233	[-0.19907407407407407]	[-0.08518518518518518]	[2.792224700002407]	['target']
10	48.1596346	0.022397	48.636619	48.6739748	[0.14629629629629629]	[0.06944444444444445]	[2.3581850999980816]	['target']
10	50.5465812	0.023988	51.0250072	51.0581553	[0.13240740740740742]	[-0.11203703703703703]	[1.8558059999995749]	['target']
5	52.4175643	0.0138236	52.9088932	52.9255688	[0.007407407407407408]	[0.037037037037037035]	[2.130578999996942]	['target']
5	54.5873546	0.0303791	55.0596713	55.0894516	[-0.05555555555555555]	[0.06944444444444445]	[1.915247000004456]	['target']
5	56.5170892	0.012482	57.0063743	57.0230251	[-0.16018518518518518]	[0.3037037037037037]	[2.5186635999998543]	['target']
10	59.0670812	0.024369	59.5406523	59.5781201	[-0.07777777777777778]	[0.36574074074074076]	[3.9596939999973984]	['target']
5	63.0469322	0.0171783	63.5296384	63.5462671	[0.11666666666666667]	[0.4287037037037037]	[2.7246498000022257]	[]
10	65.799571	0.0223216	66.2766689	66.3140084	[-0.03796296296296296]	[-0.16018518518518518]	[3.075261899997713]	['target']
5	68.8883669	0.0129462	69.3782694	69.3985216	[-0.34629629629629627]	[0.1361111111111111]	[2.498434500004805]	['target']
10	71.4354568	0.0362457	71.8952802	71.9519363	[0.3416666666666667]	[-0.24351851851851852]	[2.5792896000057226]	['target']
10	74.0493025	0.0309031	74.5129443	74.5671198	[0.010185185185185186]	[0.32592592592592595]	[2.2318510999975842]	['target']
5	76.3049993	0.0218037	76.7806635	76.8180095	[0.4222222222222222]	[0.4675925925925926]	[3.757537900004536]	[]
5	80.0851159	0.0173008	80.5671498	80.5994682	[-0.1962962962962963]	[-0.12314814814814815]	[2.877926400004071]	[]
10	83.0032446	0.0314937	83.4704799	83.5170234	[0.13796296296296295]	[-0.10462962962962963]	[2.3818240000036894]	[]
10	85.4090058	0.0239578	85.8864068	85.9188956	[0.3824074074074074]	[0.2916666666666667]	[1.903039999997418]	['target']
10	87.3393581	0.0232328	87.8181748	87.8551824	[0.032407407407407406]	[-0.13333333333333333]	[2.0736885000005714]	[]
10	89.4396746	0.0230546	89.9196676	89.9552597	[-0.1425925925925926]	[0.22037037037037038]	[2.3282480999987456]	[]
5	91.8037887	0.0253331	92.2710876	92.3040972	[0.09907407407407408]	[0.3416666666666667]	[2.3959789000000455]	['target']
5	94.2302292	0.0257971	94.7042403	94.7376352	[0.3990740740740741]	[-0.37962962962962965]	[2.5172959999981686]	[]
10	96.7941105	0.037821	97.255137	97.3062844	[0.45740740740740743]	[0.009259259259259259]	[2.237491299994872]	[]
5	99.0576858	0.020312	99.5393411	99.5725986	[0.27037037037037037]	[-0.14814814814814814]	[4.274466499999107]	[]
10	103.3834252	0.0403363	103.8409896	103.9079342	[0.21944444444444444]	[-0.4166666666666667]	[2.66895459999796]	[]
5	106.0864184	0.026179	106.5588478	106.5921131	[0.3768518518518518]	[0.025]	[1.3330789000028744]	[]
5	107.4496742	0.0257606	107.925788	107.9591384	[0.3768518518518518]	[0.025]	[0.616590499994345]	[]
5	108.0991831	0.0223051	108.5762087	108.6094985	[0.3768518518518518]	[0.025]	[1.0212609000009252]	[]
5	109.1428101	0.0190012	109.6264681	109.6576954	[0.3768518518518518]	[0.025]	[0.4896965000007185]	[]
5	109.6576954	0.0174799			[0.3768518518518518]	[0.025]	[0.37523930000315886]	[]
5	110.0621789	0.0210032			[0.3768518518518518]	[0.025]	[0.42107450000185054]	[]
10	110.5221855	0.0297619			[0.3768518518518518]	[0.025]	[0.39640670000517275]	[]
10	110.9479983	0.0240815			[0.3768518518518518]	[0.025]	[0.3704141000052914]	[]
10	111.3593844	0.0330517			[0.3768518518518518]	[0.025]	[0.35914749999938067]	[]
5	111.7401396	0.0170541			[0.3768518518518518]	[0.025]	[0.4283244999969611]	[]
10	112.2126876	0.0353198			[0.3768518518518518]	[0.025]	[0.4067242000019178]	[]
10	112.6651537	0.0377923			[0.3768518518518518]	[0.025]	[0.36689640000258805]	[]
10	113.0823933	0.0421057			[0.3768518518518518]	[0.025]	[0.37053609999566106]	[]
5	113.4882472	0.0281123			[0.3768518518518518]	[0.025]	[0.44795370000065304]	[]
5	113.9641615	0.0219896	114.4449412	114.4783472	[-0.10740740740740741]	[0.12222222222222222]	[1.5708439000009093]	[]
5	115.5587857	0.0167998	116.0457733	116.062456	[-0.10740740740740741]	[0.12222222222222222]	[0.6590087000004132]	[]
10	116.2703736	0.0403656	116.745416	116.783923	[-0.10740740740740741]	[0.12222222222222222]	[0.7193631999980425]	[]
10	117.0193549	0.0267035	117.4966576	117.5299159	[-0.10740740740740741]	[0.12222222222222222]	[0.6513619999968796]	[]
10	117.7005375	0.0243719	118.1629218	118.213034	[-0.10740740740740741]	[0.12222222222222222]	[0.6211058999979286]	[]
5	118.3553024	0.0265116	118.8302085	118.8630085	[-0.10740740740740741]	[0.12222222222222222]	[0.581931299995631]	[]
5	118.9657731	0.0216892	119.4467494	119.480203	[-0.10740740740740741]	[0.12222222222222222]	[0.5374489999958314]	[]
